,Hotel name,Address,Price (avg/night),Facilities,Rating,Reviews,Likes
158,De Revelation Hotel,"Port Harcourt, Rivers - No 8 Ezimgbu (Mummy B) Road GRA Junction ",15000,",Restaurant,
Bar

",no rating,no review,"

4"
159,Salen Hotels,"Port Harcourt, Rivers - No 3 Obudo Street Along Nta Road Mbuogba",3000,"
",no rating,no review,"

90"
160,Nuton Sofia Hotel,"Port Harcourt, Rivers - 7 Chief John Wobeo Street, Off Agip Road, Mgbuosimini, Port Harcourt, Nigeria",3500,",Internet,
Bar

",no rating,no review,"

73"
161,Mikeze Hotels,"Port Harcourt, Rivers - 2 Elder Ezebunno Street, Off Obiwali Road Rumuigbo",4000,",Restaurant,
Bar

",no rating,no review,"

32"
162,CrownGate Guest House,"Port Harcourt, Rivers -  2 Emmanuel Street, Off NTA Road Mgbuoba",4500,",Restaurant,
Bar

",no rating,no review,"

17"
163,Afrique Express Guest House Eneka,"Port Harcourt, Rivers - Along Rukpoko Road, Eneka",5000,"
",no rating,no review,"

14"
164,Afrique Express Guest House Akpajo 1,"Port Harcourt, Rivers - 1 Adonai Bus Stop, Akpajo Eleme Road, Along Eleme/Onne Express Road",5000,"
",no rating,no review,"

14"
165,Opami Suites,"Port Harcourt, Rivers - 5/7 Igwe Avenue Off Woji Road By Railway Junction, Rumurolu",3500,"
",no rating,no review,"

12"
166,Rasa Hotel,"Port Harcourt, Rivers - 300 Rumuaghaolu Road, Rumuagholu,",no price,",Internet,
Restaurant

",no rating,no review,"

99"
167,Luna Hotels,"Port Harcourt, Rivers - 204 Aba Road",3000,"
",no rating,no review,"

47"
168,Nikky Suites And Hotel,"Port Harcourt, Rivers - 9 Circular Road, GRA Phase 3.",13500,",Restaurant,
Bar

",no rating,2,"

45"
169,Larritel Hotels Limited,"Port Harcourt, Rivers - No 166 NTA Choba Road",4500,",Restaurant,
Bar

",no rating,no review,"

45"
170,Oyinmola Guest House,"Port Harcourt, Rivers - 5 Christ Avenue Opposite,FGGC Abuloma.",5000,",Restaurant,
Pool,
Bar

",no rating,no review,"

34"
171,The Residency Hotel,"Port Harcourt, Rivers - Plot 4 PJA Close By Christ Embassy Rumuigbo Off Psychiatric Hospital Road Rumuola",6000,",Internet,
Restaurant,
Bar

",6.4 Very Good,2,"

48"
172,Southern Star Hotel ,"Port Harcourt, Rivers - 1 Achinewhu Close, Eliada Estate, Adjacent To Prime Medical Hospital, Okporo Road, Off Artillery Junction",35000,",Restaurant,
Bar

",no rating,1,"

27"
173,Shabach Hotels,"Port Harcourt, Rivers - 23, Chief John Coobo Street Off Agip Road, Port Harcourt, Rivers ",no price,"
",no rating,1,"

21"
174,O'Cee White Hotels Limited,"Port Harcourt, Rivers - 52 Uniport Road Choba",2600,",Restaurant

",no rating,no review,"

21"
175,Tel Aviv Hotel And Event Center,"Port Harcourt, Rivers - 9/10 Okania New Layout Off Ada George By Location, Rumueme",no price,",Restaurant,
Bar

",no rating,no review,"

10"
176,Uga Link Hotel,"Port Harcourt, Rivers - 9/11 Odumini Lane, Road 24 Extension A, Agip Estate",5000,"
",no rating,no review,"

8"
177,Isreal Hotels &  Suites,"Port Harcourt, Rivers - Off Airport International Road, Iguruta Ikwerre Local Govt Area",3000,"
",no rating,no review,"

8"
178,Daveange Hotel,"Port Harcourt, Rivers - 11 Daniel Okocha, Street Off Psychiatric Road Rumuigbo.",7000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,2,"

125"
179,Ebisa Hotel,"Port Harcourt, Rivers - 5 Timothy Lane, Rumuola",2200,"
",no rating,no review,"

60"
180,CSKR Hotels Ltd,"Port Harcourt, Rivers - Plot 7/9, Close 6B, Off Circular Road, Elekahia Housing Estate",13860,",Internet,
Restaurant,
Bar,
Gym

",no rating,no review,"

53"
181,Afrique Express Hotel,"Port Harcourt, Rivers - NO. 39 East West Road Rumekini ",3000,",Pool,
Bar

",no rating,no review,"

43"
182,De Reggys Hotels ,"Port Harcourt, Rivers - 76 Nkpolu, Rumuigbo Road.",5000,",Internet,
Restaurant,
Bar

",no rating,no review,"

43"
183,Alu Suites,"Port Harcourt, Rivers -  4 Kala Road, Behind Kala Police Station, Mile 4 Rumuokwuta",10500,",Restaurant,
Bar,
Gym

",no rating,1,"

40"
184,Rosemary Miracle Guest House,"Port Harcourt, Rivers - Christ Close Nvigwe Road, Woji, ",3000,"
",no rating,no review,"

32"
185,Hesteria Hotels,"Port Harcourt, Rivers - 17 / 19 Dick Wami Street, Off Abacha Rd, GRA Phase III",28000,",Restaurant,
Bar

",no rating,no review,"

30"
186,Neben Hotel,"Port Harcourt, Rivers - 3 Dan Close Off Bishop Dimiere GRAphase 2",8000,",Restaurant,
Bar

",no rating,no review,"

25"
187,Sangana Hotel,"Port Harcourt, Rivers - 9 Sangana Street  Mile 1, Diobu",no price,",Restaurant,
Bar

",no rating,no review,"

19"
188,Amoni Hotels ,"Port Harcourt, Rivers - Wodi Close, Off 58 Elelenwo Rd,  Port Harcourt,  Rivers State, Nigeria.",no price,",Internet,
Restaurant,
Bar

",no rating,2,"

17"
189,Chri Beam Hotels ,"Port Harcourt, Rivers - 1/3, Ohiamini Road, Elekahia,",5000,"
",no rating,no review,"

17"
190,De Hidden Guest House,"Port Harcourt, Rivers - 3 Ejekiru Epirikom Olumini Road, Rumueme",no price,",Restaurant,
Bar

",no rating,no review,"

17"
191,Monago Hotel,"Port Harcourt, Rivers - 8-10 Monago Close, East West Road, Rumuodara, Obio Akpor",5250,",Restaurant,
Bar

",no rating,no review,"

15"
192,Pizzazz Suites,"Port Harcourt, Rivers - Pizzazz Close, Off Emma Ave., School Rd, Elelenwo, Port Harcourt, Rivers State, Nigeria.",no price,",Internet,
Restaurant

",no rating,no review,"

15"
193,301 Hotel,"Port Harcourt, Rivers -  301 Woji Road, GRA Phase 2. ",8000,",Restaurant,
Bar

",no rating,no review,"

14"
194,365 SUITE,"Port Harcourt, Rivers - Cool Side Bar, Refinery Road, Eleme ",15000,",Restaurant,
Bar

",no rating,no review,"

14"
195,Optima Suites,"Port Harcourt, Rivers - No 2, Akwaka, Opposite Mobile Filling Station, Airport Road, Rumuodomaya",no price,",Restaurant,
Bar

",no rating,no review,"

14"
196,Hobsviano Hotel,"Port Harcourt, Rivers - No 6 Ogwuorlu Road Off Airport Behind Big Treat Bakery Rukpokwu ",3000,"
",no rating,2,"

12"
197,Belleza De Sophia Hotel Limited,"Port Harcourt, Rivers - Plot 10 Eastern Bye Pass, Opposite Redemption Ministries",24000,"
",no rating,no review,"

12"
198,Royal Afrique Hotels Oyibo,"Port Harcourt, Rivers - Along Eleme Access Road, Umusoya",5000,",Restaurant,
Pool,
Bar

",no rating,no review,"

12"
199,Orama Hotel,"Port Harcourt, Rivers - No 3 Okoa Rumuokwata ",3000,",Restaurant

",no rating,no review,"

10"
200,Afrique Express Guest House Aleto Eleme,"Port Harcourt, Rivers - Bori Expressway",5000,"
",no rating,no review,"

8"
201,Pachik Suites,"Port Harcourt, Rivers - 2 Akwaka Phase 3 Junction, By Pass, Off Obio Akpor Int'l Market Road",7000,",Restaurant,
Bar

",no rating,no review,"

8"
202,Oil Rig Camp Hotels,"Port Harcourt, Rivers - 5, Oworu Street, Off Ekere Street, Rumubiakani, Port Harcourt",6000,"
",no rating,no review,"

8"
203,Libac Hotels Limited,"Port Harcourt, Rivers - Opposite Police Divisional Igwuruta Airport Road, Igwuruta",no price,",Restaurant,
Bar

",no rating,no review,"

8"
204,Obennis Suite,"Port Harcourt, Rivers - 001 Rumahoulu Road",4000,"
",no rating,no review,"

6"
205,Afrik Twist Cuisine &  Pub,"Port Harcourt, Rivers - 16 Choba Street Off Agudama Street DL",8000,",Restaurant,
Bar

",no rating,no review,"

4"
206,Friakon Hotel,"Port Harcourt, Rivers - Aluu Junction, Rukpokwu, Police Check Point",5000,"
",no rating,no review,"

4"
207,Aleruchi Guest House,"Port Harcourt, Rivers - East West Road, Rumuopoku",3000,"
",no rating,no review,"

4"
208,Futta Jallon,"Port Harcourt, Rivers - Opposite Omagwa Anglican School, Omuikume",no price,",Restaurant,
Bar

",no rating,no review,"

4"
209,Helena Haven Hotels,"Port Harcourt, Rivers - K/M 1 East-West Road,  By Choba Police Station,  Choba, Port Harcourt",17000,",Internet,
Pool,
Bar

",7.5 Very Good,4,"

247"
210,Voyage Ranch Hotel,"Port Harcourt, Rivers - 26 Stadium Road, Port Harcourt, Rivers ",no price,",Restaurant,
Bar

",7.3 Very Good,11,"

374"
211,Nicon Hotel (Shut Down),"Port Harcourt, Rivers - 6 Benjamin Opara Street, Off Olu Obasanjo Road, GRA Phase III.",18500,",Internet

",no rating,2,"

88"
212,Vhelbherg Imperial Hotel ,"Port Harcourt, Rivers - 112/112A BANK ANTHONY AVENUE,OFF ORDINANCE ROAD,TRANSAMADI INDUSTRIAL LAYOUT ",18000,",Internet,
Restaurant,
Bar

",no rating,1,"

80"
213,Goshen Grand Hotel ,"Port Harcourt, Rivers - George Otuonye Crescent, Off Elelenwo Road, Behind Elelenwo Police Station. Rumuokwurusi, Port Harcourt",8000,",Restaurant,
Bar

",no rating,no review,"

66"
214,Mainland Hotels Limited,"Port Harcourt, Rivers - 29 Jetty Road, Abuloma.",3000,",Restaurant

",no rating,no review,"

93"
215,Au-delÃ  Des FrontiÃ¨res Hotel,"Port Harcourt, Rivers - 42 Tombia Extension, G.R.A, Port-Harcourt",12000,",Internet,
Restaurant,
Pool,
Bar

",no rating,no review,"

41"
216,Royal Residence Hotel,"Port Harcourt, Rivers - Plot 152 Tombia Street  GRA Phase I",14400,",Restaurant,
Bar

",no rating,1,"

40"
217,Erijoy Hotels Limited ,"Port Harcourt, Rivers - 5 Trans Amadi Road, Rumuobiakani",6000,",Restaurant,
Pool,
Bar,
Gym

",no rating,1,"

54"
218,Dos Royal Hotels ,"Port Harcourt, Rivers - 15th Ohiamni Road Runmola Behinde Owoma Motel",5000,"
",no rating,no review,"

34"
219,Muriela Hotels Limited,"Port Harcourt, Rivers -  7 Wokekoro Street Amadi Flat, Old GRA, Port Harcourt,Nigeria",10000,"
",no rating,no review,"

34"
220,Dumon Hotel ,"Port Harcourt, Rivers - 15A, Post Office Road, Woji,",4500,"
",no rating,no review,"

30"
221,Skill Hotel,"Port Harcourt, Rivers - 2 Eliparanwo Road, Off Ada George Road.",4000,",Restaurant,
Bar

",no rating,no review,"

28"
222,Dar Thery Suites,"Port Harcourt, Rivers - 4 Wisdom Close,By NEPA Office Off Obiwali Road",6000,",Pool,
Bar

",no rating,no review,"

28"
223,Limewood Hotel Port Harcourt,"Port -Harcourt, Rivers - Plot F 1B, Abacha Road,  GRA Phase 3, G.R.A. Port Harcourt 500272",55000,",Restaurant,
Pool

",no rating,no review,"

27"
224,EBEKENDY HOTEL ,"Port Harcourt,, Rivers - Plot 70,Graceland Road Tombia Extension, Phase 2 G.R.A Port Harcourt",20000,",Restaurant,
Bar

",no rating,no review,"

25"
225,Sophiella Hotels Limited,"Port Harcourt, Rivers -  2 Turujan By Pass, Off Okilo Road Abuloma",3500,",Restaurant,
Bar

",no rating,no review,"

23"
226,Royal Paragon Hotel,"Port Harcourt, Rivers - KM 2  COE/Iwofe Road, Rumueprikom",11000,"
",no rating,no review,"

23"
227,Cool Corner Hotels,"Port Harcourt, Rivers - 6 Woji New Layout, Woji",no price,"
",no rating,no review,"

23"
228,Chookies Guest House,"Port Harcourt, Rivers - 5 Lion Street, Woji",3000,"
",no rating,no review,"

21"
229,Banitex Hotel ,"Port Harcourt, Rivers - 121 NTA Road Mgbuoba ",5000,",Restaurant,
Bar

",no rating,no review,"

21"
230,Charmarian  Hotel (former De Eugene's Hotel),"Port Harcourt, Rivers - 15 Farm Road 1 Eliozu",7000,",Restaurant,
Bar

",no rating,no review,"

21"
231,Valley View Dorchester Hotels ,"Port Harcourt, Rivers - 179 Housing Estate Road, Rumuobiakani",no price,",Restaurant,
Pool,
Bar

",no rating,no review,"

19"
232,Bishop House Hotel,"Port Harcourt, Rivers - 35, Ndele Street, D Line, ",10000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

19"
233,Ohakwu Guest House,"Port Harcourt, Rivers - No 45 Uniport Road By SDA Stop ",3000,"
",no rating,no review,"

19"
234,Gade Place Hotel,"Port Harcourt, Rivers -  3 East West Road, Obiri Ikwerre Junction, By Airport Road.",10000,",Restaurant,
Pool,
Bar

",no rating,no review,"

19"
235,Compass Hotel And Suite,"Port Harcourt, Rivers - 3 Chief Onuaha Street, East-West Road, Rumuodara, Port Harcourt",4950,",Restaurant,
Bar

",no rating,no review,"

19"
236, Aristo House Hotel ,"Port Harcourt, Rivers - 41 Greg Ogbeifun Street, G.R.A, Phase 3",20000,",Restaurant,
Bar

",no rating,no review,"

17"
237,18 04 Hotel,"Port Harcourt, Rivers - Elder Owhor Avenue, Off Elekahia, Rumuokalaghor Link Road",15000,",Restaurant

",no rating,no review,"

17"
238,Rosie Hotel,"Port Harcourt, Rivers - 1-3 Emeyal Street, GRA Phase I, ",no price,",Internet,
Restaurant,
Pool,
Bar

",no rating,no review,"

15"
239,Sevilla Hotels,"Port Harcourt, Rivers - 2 Marshall Close, Off Mife Road, Rumogba Estate",8000,"
",no rating,no review,"

15"
240,Varlin Hotel,"Port Harcourt, Rivers -  1 Marine Close Off, Rumuoke By Kala Police Post.",4400,"
",no rating,no review,"

15"
241,Edobi Suites,"Port Harcourt, Rivers - Plot 87/88 Estate Road, Rumuogba Estate. Rumuogba",9000,"
",no rating,no review,"

15"
242,Amethyst Apartments,"Port Harcourt, Rivers - RivTaf Golf Estate Off Peter Odili Road Trans-Amadi",no price,",Internet,
Pool

",no rating,no review,"

15"
243,De-Lasmall Hotel And Resort,"Port Harcourt, Rivers - 9 Rumukalagbor/Elekahia Link Road, Off Waterlines, Port Harcourt,",20000,",Restaurant,
Pool,
Bar

",no rating,no review,"

15"
244,Wole's Guest House,"Port Harcourt, Rivers -  1 Logo Avenue By Bakers Palace, Off Abuloma Road",8500,",Restaurant,
Bar

",no rating,1,"

20"
245,Chenice Garden Hotel,"Port Harcourt, Rivers - 94 Market Road, Umuahia",6900,"
",no rating,1,"

14"
246,"Millenium Hotel, Port Harcourt","Port Harcourt, Rivers - Plot 3, Ovonwo Lane, Rumuagholu, Port Harcourt, Rivers ",3000,",Restaurant,
Bar

",no rating,no review,"

14"
247,Sissi Hotel,"Port Harcourt, Rivers - 46, Oromenike Str, D/Line, ",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

14"
248,Mission Guest House,"Port Harcourt, Rivers - No 5, Off Jesus Wobasi Avenue, Off Orazi, ",no price,",Restaurant,
Bar

",no rating,no review,"

14"
249,Lasmall Suites," Port Harcourt, Rivers -  2 Oroma Close, Off Oluobasanjo Rd, D/line. GRA",10000,",Restaurant,
Bar

",no rating,no review,"

12"
250,La' Wealth Hotel ,"Port Harcourt, Rivers - No 10 Pipeline Road Rokpokwu",no price,"
",no rating,no review,"

12"
251,Wodi Guest House,"Port Harcourt, Rivers - 10 Wodi New Layout, Elelenwo, Umurolu",no price,",Bar

",no rating,no review,"

12"
252,De Infinity Sky Suite,"Port Harcourt, Rivers - Police Post, Off New Airport Road",7000,",Restaurant,
Bar

",no rating,no review,"

10"
253,Mira Hotels Limited,"Port Harcourt, Rivers - 23, Igbodo Street, Old GRA, ",9000,"
",no rating,no review,"

10"
254,Chenice Garden Hotel (Annex),"Port Harcourt, Rivers - 94 Market Road, Rumumasi",10000,"
",no rating,no review,"

10"
255,D2D Homes & Lounge ,"Port Harcourt, Rivers - 30/32 Elelenwo Street, GRA.",15000,",Restaurant,
Bar

",no rating,no review,"

10"
256,Crib Delaroke (Same As Cribville Lifestyle Hotel),"Port Harcourt, Rivers - No 17b William Jumbo Street, Old G.R.A, Port Harcourt.",30000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

10"
257,Tommevyll Hotels,"Port Harcourt, Rivers - No 7,  Igwuruta Road, Opp Eneka Civic Centre By Eneka, Obio Akpor Local Government Area",5000,"
",no rating,no review,"

10"
258,People's Prestige Hotel,"Port Harcourt, Rivers -  40 ,Rumuola Road, Rumola, Port Harcourt, Rivers, Nigeria",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

10"
259,Driff Angelos Hotels ,"Port Harcourt, Rivers - Success Avenue, Happy Street, Rukpokwu, Port Harcourt, Nigeria",5000,",Restaurant,
Bar

",no rating,no review,"

10"
260,Bevaluable Banquet ,"Port Harcourt, Rivers - 1, Bevaluable Avenue, Ozuoba, Port Harcourt, Nigeria",8400,",Internet,
Restaurant,
Bar

",no rating,no review,"

10"
261,La Wealth Hotel,"Port Harcourt, Rivers - Pipe Line Road, Rupkokwu, Okporo, Off Vondorix Road, ",2500,",Restaurant

",no rating,no review,"

10"
262,Peoples Prestige Hotel,"Port Harcourt, Rivers - 40 Rumuola Road, Peoples Club Premises, Rumuola",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

10"
263,Odum J. Hotel,"Port Harcourt, Rivers - No. 1 Odums Street, East West Road, Choba",no price,"
",no rating,no review,"

10"
264,Evron Matrix Hotel,"Portharcourt, Rivers - 13 Orlu Close, Rumuomasi",no price,",Restaurant,
Bar

",no rating,no review,"

10"
265,Charleson Luxury Hotel,"Port Harcourt, Rivers - 3-7 Charleson Luxury Drive, Igwuruta Ali Off Airport Road, Port Harcourt",60000,",Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

10"
266,Chivo Hotel,"Port Harcourt, Rivers - Opposite White House, Along Airport House",4000,",Bar

",no rating,no review,"

8"
267,Penguin Hotel,"Port Harcourt, Rivers - No 10 Ehio Street Off Road Mbougba",4500,"
",no rating,no review,"

8"
268,Transit Care Hotels,"Port Harcourt, Rivers - 8 Ndashi Street, Off Wogu Street, D/Line",no price,",Restaurant,
Pool,
Bar

",no rating,no review,"

8"
269,CREEK VIEW HOTELS AND RESORT,"Port Harcourt, Rivers - 2nd CIRCULAR ROAD, OFF ALCON WOJI. PORT HARCOURT",no price,",Restaurant,
Bar

",no rating,no review,"

8"
270,Anabeth Suites And Resorts Ltd,"Port Harcourt, Rivers - 258 PH Aba Express Road, Rumuogba",7000,",Restaurant,
Bar

",no rating,no review,"

8"
271,Rest Place,"Port Harcourt, Rivers - 13, Harmony Avenue, Rumukurushi, Rumuodara",no price,",Restaurant,
Bar

",no rating,no review,"

8"
272,Frankfurt Hotel & Suites,"Port Harcourt, Rivers - 1 GENTLE STREET OFF UNIPORT-ALUU ROAD OPPOSITE GREEN HOUSE UMUOKIRI",21570,",Restaurant,
Bar

",no rating,no review,"

4"
273,Christiana Suites And Garden ,"Port Harcourt, Rivers - 30A NTA Road Rumuokwuta.",5500,",Restaurant,
Bar

",no rating,no review,"

6"
274,Tonne Gold Hotel,"Port Harcourt, Rivers - Road 13 Pipeline Road Rukpokwu ",3000,"
",no rating,no review,"

6"
275,Ilo Garden Hotel,"Port Harcourt, Rivers - 2 Ilo Street, Elekahia",5500,",Bar

",no rating,no review,"

6"
276,Abray Hotels,"Port Harcourt, Rivers - Ompadec Road Igunuta",3000,"
",no rating,no review,"

6"
277,Afriqu Express Hotel Choba,"Port Harcourt, Rivers - Choba Road, Rumuekini",8000,"
",no rating,no review,"

6"
278,Idah Guest House,"Port Harcourt, Rivers - No 3 Gideon Street Rumuaholu Road",2500,"
",no rating,no review,"

6"
279,Sunotel Nigeria Limited,"Port Harcourt, Rivers - 31 Oria Market Road, Rumuokwuta",5000,"
",no rating,no review,"

6"
280,Krisdera Hotels And Resort,"Port Harcourt, Rivers - 12, Umu-Ewo Royal Avenue, Go Round Villa, Opposite Ogba Comprehensive High School, Omoku.",no price,",Internet,
Restaurant,
Pool,
Bar

",no rating,no review,"

6"
281,Gibsco Hotels,"Port Harcourt, Rivers - 83, 85 & 86 Market Road, Rumuomasi, ",no price,",Restaurant,
Bar

",no rating,no review,"

6"
282,Tehinnah Hotels,"Port Harcourt, Rivers - 7/9 Tehinnah Close By New Road Off East West Road.",3000,"
",no rating,no review,"

6"
283,Clock Tower Hotels,"Port Harcourt, Rivers - 8, Graceland Avenue, Opp. Royal House Of Grace Church, Tombia Extension, G.R.A Phase 2, Port Harcourt, Rivers, POBox 10390 ",no price,",Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

6"
284,Samarc Hotels,"Port Harcourt, Rivers - No. 8, Nwosu Street",no price,",Restaurant,
Bar

",no rating,no review,"

6"
285,Asa Apartment ,"Port Harcourt, Rivers - Golf Estate, Trans Amadi Port Harcourt ",30000,",Pool

",no rating,no review,"

6"
286,"Exotic 4-Bedroom DnD Sweet Home Apartment, PH","Port Harcourt, Rivers - Golf Estate, Peter Odili Road, Port Harcourt",60000,",Pool

",no rating,no review,"

3"
287,"Labake Cottage, PHC","Port Harcourt, Rivers - No. 3 Odu Street, Rumuola Stadium Link Road, Port Harcourt",7800,",Restaurant,
Bar

",no rating,no review,"

6"
288,"De Palms Hotel, Port Harcourt","Port Harcourt, Rivers - 78 Elelenwo Street, GRA Phase 2, Port Harcourt",70000,",Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

6"
289,Toki Hotels ,"Port Harcourt, Rivers - Nkpogu Road, Trans Amadi, ",no price,",Restaurant,
Pool,
Bar

",no rating,no review,"

4"
290,Pishon Gate Hotels,"Port Harcourt, Rivers - 43b Okporo Road, By Artillery Junction, Beside Everyday Supermarket",5000,",Restaurant,
Bar

",no rating,no review,"

4"
291,Stardust Suites,"Port Harcourt, Rivers - Plot 10 Omerelu Street, GRA Phase 1, Port Harcourt, Rivers ",no price,",Internet,
Restaurant,
Bar

",no rating,no review,"

4"
292,RichLand Suites ,"Port Harcourt, Rivers - No 6 Airport Road Rukpokwu",4000,",Restaurant,
Bar

",no rating,no review,"

4"
293,Charluz Place Hotel,"Port Harcourt, Rivers - No 5 Gojotha School Link Road Ozouoba Port ",3000,",Bar

",no rating,no review,"

4"
294,Ichee Himee Hotel,"Port Harcourt, Rivers - Road 2, Akwara Road, Rumuodomaya",4000,"
",no rating,no review,"

4"
295,Kalada Hotel,"Port Harcourt, Rivers - No.13 Nyeche Street Rumuaholu",3000,"
",no rating,no review,"

4"
296,Badu Hotel,"Port Harcourt, Rivers - 22 Standard Road, Elenjenwo",no price,"
",no rating,no review,"

4"
297,Texas Cafe Hotel ,"Port Harcourt, Rivers - 1 Harold Wilson Drive, Borikiri",12000,"
",no rating,no review,"

4"
298,Gonsiv Hotel & Suites,"Port Harcourt, Rivers - 7B Ilom Street, Rumurolu Woji",7000,"
",no rating,no review,"

4"
299,Minchrinz Hotels Limited,"Port Harcourt, Rivers - 68 Rumuagholu Road",3000,"
",no rating,no review,"

4"
300,TIP-TOP HOTEL,"Port Harcourt, Rivers - #5 Orosi Avenue, Off Psychiatric Road Rumuigbo",no price,"
",no rating,no review,"

4"
301,Frajocy Hotels Limited,"Port Harcourt, Rivers - 20 Nyege Close Off Gbei Road Nkpolu ",5000,",Restaurant,
Bar

",no rating,no review,"

4"
302,Royal Garden Hotel,"Port Harcourt, Rivers - 7A, Savannah Avenue, Off Fleming Street, Rumuomasi, Port Harcourt, Rivers",no price,"
",no rating,no review,"

4"
303,Unique Resort And Guest House (Oyibo),"Port Harcourt, Rivers - 6 Ndubuisi Okoro Street, Mbano Camp",3150,"
",no rating,no review,"

4"
304,Glorious Hotel,"Port Harcourt, Rivers - Uniport Road, Rumualogu",no price,",Restaurant,
Bar

",no rating,no review,"

4"
305,Service And Smile Hotel,"Port Harcourt, Rivers - 4, Odu Street, Rumuola",no price,"
",no rating,no review,"

4"
306,Milkyway Hotels And Suite,"Port Harcourt, Rivers - Milky Way Close, Aluu",no price,",Bar

",no rating,no review,"

4"
307,Sobambam Guest House,"Port Harcourt, Rivers - 11 RD Road, Rumudara, Okporo",no price,",Restaurant,
Bar

",no rating,no review,"

4"
308,Toz - Etua Hotels,"Port Harcourt, Rivers - 11, Otogbo Avenue, Nkpolu, Rumuigbo",no price,",Bar

",no rating,no review,"

4"
309,Japhia Hotel,"Port Harcourt, Rivers - No 20, Jonah Street, Off Onukem Street, Rumuodara",no price,",Bar

",no rating,no review,"

4"
310,Pevico Guest House,"Port Harcourt, Rivers - New Camp Umugbulu, Igbo Etche",no price,",Restaurant,
Bar

",no rating,no review,"

4"
311,Hotel De Sinteh,"Port Harcourt, Rivers - 11, Ijbukwu Street, V - Line, Diobu",no price,",Restaurant,
Bar

",no rating,no review,"

4"
312,Gmg Motel,"Port Harcourt, Rivers - Rukpokwu Road Close To Checkpoint, Rukpokwu",no price,",Restaurant,
Bar

",no rating,no review,"

4"
313,Kristov's House,"Port Harcourt, Rivers - 70B Abacha Link Road, GRA Phase 3, Port Harcourt ",30000,",Restaurant,
Bar,
Gym

",no rating,no review,"

4"
314,Kingscourt Shortlet,"Port Harcourt, Rivers - No. 1, Solomon Nwali Street, Owipha, Choba, Port Harcourt",15000,"
",no rating,no review,"

4"
315,Oak Haven Hotel & Suites,"Port Harcourt, Rivers - Plot 126 Woji Road, GRA Phase 2, Port Harcourt",50000,",Internet,
Restaurant,
Pool,
Bar,
Gym

",no rating,no review,"

4"
316,Focal Hotel ,"Port Harcourt, Rivers - 155 Woji RoadGRA Phase II P/H, Woji Town, Port Harcourt",no price,"
",no rating,2,
317,Marts-C Guest House,"Port Harcourt, Rivers - 3 Elidorlu Street, Rumuokwurusi",no price,",Restaurant,
Bar

",no rating,1,"

2"
318,Hotel Nineveh,"Port Harcourt, Rivers - 3 Chief Onuoha Street, Off Ordu Avenue, Opposite. Omega Conference Hall.",4500,"
",no rating,no review,"

2"
319,Conference Hotel ,"Port Harcourt, Rivers - Plot 1A/1B, Conference Aveune, G.R.A, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
320,Meidan Hotels & Appartments,"Port Harcourt, Rivers - 6 Benjamin Opara Street, Off Olu Obasanjo Road, GRA Phase III",no price,"
",no rating,no review,"

2"
321,Listan Hotels,"Port Harcourt, Rivers - 8 Weli Close Mgbueshilaru Obio/Akpor",6000,",Restaurant,
Bar

",no rating,no review,"

2"
322,Motel Formula One,"Port Harcourt, Rivers - Plot 270, Old Refinery Road, After RSTV, Elelenwo",no price,",Restaurant,
Bar

",no rating,no review,"

2"
323,Regent Suites,"Port Harcourt, Rivers - 6a Obanoban Street Off Evo Road GRA Phase 2",no price,"
",no rating,no review,"

2"
324,Mary-Dox Guest House,"Port Harcourt, Rivers - 24/25 Sangaya Street By Park",3500,",Restaurant,
Bar

",no rating,no review,"

2"
325,Otu-nne Guest House,"Port Harcourt, Rivers - 3 Rukplowsi, New Layout",3000,",Restaurant,
Bar

",no rating,no review,"

2"
326,Hotel Sunnyville,"Port Harcourt, Rivers - 68, Olu Obasanjo Road, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
327,Samfer Hotels Limited,"Port Harcourt, Rivers - 5 Samfer Drive, Beside Total Fillng Station, Rukpokwu",4000,"
",no rating,no review,"

2"
328,Mc Mega Class Hotels & Suites,"Port Harcourt, Rivers - Plot 32, Ada George Road, Mile 4, Port Harcourt, Rivers State, Nigeria.",no price,"
",no rating,no review,"

2"
329,Labake Hotel,"Port Harcourt, Rivers - 31, Olu Street, ",no price,"
",no rating,no review,"

2"
330,Maro-Citi Hotels Limited,"Port Harcourt, Rivers - 1st Close, House 2 Christ Avenue, Abuloma Road.",5500,",Restaurant,
Bar

",no rating,no review,"

2"
331,Hotel Rose Bud,"Port Harcourt, Rivers - Plot 49, Trans Amadi Industrial Layout, Port Harcourt, Rivers",no price,"
",no rating,no review,"

2"
332,Maroke Guest House,"Port Harcourt, Rivers - 225/235 Can Link Road. GRA Phase I.",7000,",Restaurant,
Bar

",no rating,no review,"

2"
